Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
24 rue des Cheminots,0,0,0,0,Saint-Denis,STATION,93200,Saint-Denis/Cheminots/24,station,scheduled,2018,4,5,12,7
19 Rue de l'ArrivÃ©e,0,0,1,1,Enghien-les-Bains,STATION,95880,Enghien-les-Bains/ArrivÃ©e/19,station,ok,2018,4,8,22,13
56 Rue La Fayette,0,0,0,0,Paris,STATION,75009,Paris/La Fayette/56,station,ok,2018,4,8,7,15
81 avenue Ãdouard Vaillant,0,0,0,0,Boulogne-Billancourt,STATION,92100,Boulogne-Billancourt/Ãdouard Vaillant/81,station,ok,2018,4,5,19,56
422 Rue Saint-HonorÃ©,3,3,0,0,Paris,STATION,75008,Paris/Saint-HonorÃ©/422,station,ok,2018,4,7,13,48
2 rue Neuve Saint-Pierre,0,0,0,0,Paris,STATION,75004,Paris/Neuve Saint-Pierre/2,station,ok,2018,4,1,0,4
98 rue de Turenne,2,2,0,0,Paris,STATION,75003,Paris/Turenne/98,station,ok,2018,4,4,12,20
3 Rue Mongenot,4,4,0,0,Saint-MandÃ©,STATION,94160,Saint-MandÃ©/Mongenot/3,station,ok,2018,4,6,16,15
123 Grande Rue,0,0,0,1,SÃ¨vres,STATION,92310,SÃ¨vres/Grande Rue/123,station,ok,2018,4,4,15,57
64 Rue de Fitzelin,2,2,0,1,Ãpinay-sur-Seine,STATION,93800,Ãpinay-sur-Seine/Fitzelin/64,station,ok,2018,4,4,0,1
56 Rue Lacordaire,5,5,0,1,Paris,STATION,75015,Paris/Lacordaire/56,station,ok,2018,4,6,6,38
6 place Adolphe Max,4,4,0,0,Paris,STATION,75009,Paris/Adolphe Max/6,station,ok,2018,4,2,11,1
1 place de Finlande,5,5,1,0,Colombes,STATION,92700,Colombes/Finlande/1,station,ok,2018,4,3,15,43
16 rue Guynemer,6,6,0,0,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Guynemer/16,station,ok,2018,4,9,11,46
25 rue Constantine,0,0,1,0,Paris,STATION,75007,Paris/Constantine/25,station,ok,2018,4,7,21,23
6 Rue Louis Blanc,0,0,0,0,Paris,STATION,75010,Paris/Louis Blanc/6,station,ok,2018,4,2,23,47
126 Avenue Philippe Auguste,0,0,0,0,Paris,STATION,75011,Paris/Philippe Auguste/126,station,ok,2018,4,7,11,53
24 Rue BarbÃ¨s,6,6,0,0,Montrouge,STATION,92120,Montrouge/BarbÃ¨s/24,station,ok,2018,4,3,11,25
2 avenue de la Porte de Charenton,5,5,0,0,Paris,STATION,75012,Paris/Porte de Charenton/2,station,ok,2018,4,1,7,9
9 rue du 8 mai,0,0,0,0,Aulnay-sous-bois,STATION,93600,Aulnay-sous-bois/8 mai/9,station,closed,2018,4,5,9,40
1 rue FranÃ§oise Dolto,4,4,0,0,Paris,STATION,75013,Paris/FranÃ§oise Dolto/1,station,ok,2018,4,9,12,37
9 place Saint-Augustin,0,0,0,0,Paris,STATION,75008,Paris/Saint-Augustin/9,station,ok,2018,4,8,19,30
91 Rue du Faubourg Saint-HonorÃ©,0,0,0,0,Paris,STATION,75008,Paris/Saint-HonorÃ©/91,station,closed,2018,4,1,20,17
28 Avenue du MarÃ©chal Joffre,2,2,0,0,Nanterre,STATION,92000,Nanterre/MarÃ©chal Joffre/28,station,ok,2018,4,7,2,5
35 Rue de Provence,0,0,0,0,Paris,STATION,75009,Paris/Provence/35,station,ok,2018,4,6,0,4
24 rue des Cheminots,0,0,0,0,Saint-Denis,STATION,93200,Saint-Denis/Cheminots/24,station,scheduled,2018,4,6,16,8
42 bis avenue Georges Mandel,2,2,0,0,Paris,STATION,75016,Paris/Georges Mandel/42,station,ok,2018,4,4,6,50
199 avenue Daumesnil,3,3,1,0,Paris,STATION,75012,Paris/Daumesnil/199,station,ok,2018,4,1,5,26
62 rue Pierre Charron,0,0,0,0,Paris,STATION,75008,Paris/Pierre Charron/62,station,closed,2018,4,2,9,11
